what,kind,bundleId,bundleVersion,description,time
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1360211236174
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1360211236174
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1360211236195
started,bundle,org.eclipse.dltk.core,2.0.0.v20100603-0936,"org.eclipse.dltk.core",1360211236217
started,bundle,org.eclipse.dltk.launching,2.0.0.v20100524-0038,"org.eclipse.dltk.launching",1360211236223
started,bundle,org.eclipse.dltk.ui,2.0.0.v20100603-0936,"org.eclipse.dltk.ui",1360211236254
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1360211236273
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1360211236278
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1360211236279
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1360211236281
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1360211236297
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1360211236312
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1360211236327
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1360211236340
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1360211236369
os,sysinfo,,,"macosx",1360211236372
arch,sysinfo,,,"x86_64",1360211236372
ws,sysinfo,,,"cocoa",1360211236372
locale,sysinfo,,,"en_US",1360211236372
processors,sysinfo,,,"8",1360211236372
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1360211236372
java.runtime.version,sysinfo,,,"1.6.0_37-b06-434-11M3909",1360211236372
java.specification.name,sysinfo,,,"Java Platform API Specification",1360211236372
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1360211236372
java.specification.version,sysinfo,,,"1.6",1360211236372
java.vendor,sysinfo,,,"Apple Inc.",1360211236372
java.version,sysinfo,,,"1.6.0_37",1360211236372
java.vm.info,sysinfo,,,"mixed mode",1360211236372
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1360211236372
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1360211236372
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1360211236372
java.vm.specification.version,sysinfo,,,"1.0",1360211236372
java.vm.vendor,sysinfo,,,"Apple Inc.",1360211236372
java.vm.version,sysinfo,,,"20.12-b01-434",1360211236372
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1360211237423
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360211237689
